state_abbr,year,lfp_sa
AL,2010,59.800000000000004
AL,2011,59.425000000000004
AL,2012,58.324999999999996
AL,2013,57.68333333333334
AL,2014,56.949999999999996
AL,2015,56.71666666666667
AL,2016,56.975
AL,2017,56.9
AL,2018,57.324999999999996
AL,2019,57.708333333333336
AK,2010,69.56666666666666
AK,2011,68.81666666666666
AK,2012,68.0
AK,2013,67.5
AK,2014,67.43333333333334
AK,2015,66.73333333333333
AK,2016,66.2
AK,2017,65.94166666666666
AK,2018,65.00833333333334
AK,2019,64.58333333333333
AZ,2010,62.84166666666667
AZ,2011,61.48333333333333
AZ,2012,60.6
AZ,2013,59.958333333333336
AZ,2014,59.89166666666667
AZ,2015,60.074999999999996
AZ,2016,60.25
AZ,2017,60.574999999999996
AZ,2018,61.21666666666667
AZ,2019,61.99166666666667
AR,2010,60.63333333333333
AR,2011,60.23333333333333
AR,2012,59.6
AR,2013,58.574999999999996
AR,2014,58.11666666666667
AR,2015,58.30833333333334
AR,2016,58.125
AR,2017,58.050000000000004
AR,2018,57.89166666666666
AR,2019,58.125
CA,2010,64.16666666666667
CA,2011,63.39166666666666
CA,2012,63.050000000000004
CA,2013,62.708333333333336
CA,2014,62.34166666666667
CA,2015,62.166666666666664
CA,2016,62.225
CA,2017,62.275
CA,2018,62.28333333333333
CA,2019,62.44166666666666
CO,2010,70.24166666666666
CO,2011,69.68333333333332
CO,2012,69.00833333333334
CO,2013,68.15833333333333
CO,2014,67.7
CO,2015,66.825
CO,2016,67.0
CO,2017,67.77499999999999
CO,2018,68.56666666666666
CO,2019,68.64166666666667
CT,2010,68.26666666666667
CT,2011,67.73333333333333
CT,2012,66.40833333333333
CT,2013,65.425
CT,2014,65.91666666666667
CT,2015,65.89999999999999
CT,2016,65.88333333333334
CT,2017,66.10000000000001
CT,2018,65.95
CT,2019,66.36666666666666
DE,2010,62.025
DE,2011,62.19166666666666
DE,2012,61.925000000000004
DE,2013,60.9
DE,2014,61.36666666666667
DE,2015,61.9
DE,2016,62.05833333333334
DE,2017,62.24166666666667
DE,2018,62.199999999999996
DE,2019,61.975
FL,2010,61.64166666666667
FL,2011,61.083333333333336
FL,2012,60.50833333333333
FL,2013,60.09166666666667
FL,2014,59.86666666666667
FL,2015,59.333333333333336
FL,2016,59.349999999999994
FL,2017,59.35
FL,2018,59.28333333333333
FL,2019,59.5
GA,2010,64.20833333333333
GA,2011,64.08333333333333
GA,2012,63.833333333333336
GA,2013,62.90833333333333
GA,2014,62.10833333333333
GA,2015,61.09166666666667
GA,2016,62.4
GA,2017,63.800000000000004
GA,2018,63.25
GA,2019,62.84166666666667
HI,2010,63.291666666666664
HI,2011,62.916666666666664
HI,2012,61.25833333333333
HI,2013,60.800000000000004
HI,2014,61.63333333333333
HI,2015,61.725
HI,2016,62.10833333333333
HI,2017,62.041666666666664
HI,2018,61.51666666666667
HI,2019,61.083333333333336
ID,2010,65.60833333333333
ID,2011,65.04166666666667
ID,2012,64.84166666666667
ID,2013,64.53333333333335
ID,2014,63.48333333333333
ID,2015,63.84166666666667
ID,2016,63.93333333333334
ID,2017,63.974999999999994
ID,2018,64.13333333333334
ID,2019,64.41666666666667
IL,2010,66.66666666666667
IL,2011,66.01666666666667
IL,2012,65.875
IL,2013,65.41666666666667
IL,2014,64.83333333333333
IL,2015,64.77499999999999
IL,2016,65.28333333333333
IL,2017,64.61666666666666
IL,2018,64.66666666666667
IL,2019,64.625
IN,2010,63.96666666666667
IN,2011,63.78333333333333
