state_abbr,year,lfp_sa,bachelors_share
MA,2013,64.95833333333333,40.1
MA,2014,65.31666666666666,41.0
MA,2015,65.2,41.5
MA,2016,65.25,42.7
MA,2017,65.96666666666667,43.4
MA,2018,67.14166666666667,44.5
MI,2010,61.74166666666667,25.5
MI,2011,60.166666666666664,25.8
MI,2012,60.074999999999996,26.1
MI,2013,60.525,27.1
MI,2014,60.51666666666667,27.1
MI,2015,60.36666666666667,27.8
MI,2016,61.25,28.3
MI,2017,61.425000000000004,29.1
MI,2018,61.59166666666667,29.6
MN,2010,71.50833333333334,32.0
MN,2011,71.24166666666666,32.0
MN,2012,70.575,32.6
MN,2013,70.23333333333333,32.8
MN,2014,70.09166666666667,33.4
MN,2015,70.21666666666667,34.7
MN,2016,70.025,34.8
MN,2017,70.05833333333334,36.1
MN,2018,69.60000000000001,36.7
MS,2010,58.775,18.3
MS,2011,60.041666666666664,18.8
MS,2012,59.11666666666667,19.3
MS,2013,56.449999999999996,19.1
MS,2014,54.958333333333336,19.1
MS,2015,55.416666666666664,20.8
MS,2016,55.708333333333336,21.8
MS,2017,55.69166666666666,21.9
MS,2018,55.625,23.2
MO,2010,65.64166666666667,25.4
MO,2011,65.10833333333333,26.4
MO,2012,64.23333333333333,25.9
MO,2013,64.18333333333334,26.8
MO,2014,64.38333333333334,26.7
MO,2015,64.55,27.8
MO,2016,64.60833333333333,28.5
MO,2017,63.99166666666667,29.1
MO,2018,63.64166666666667,29.5
MT,2010,64.40833333333333,28.3
MT,2011,64.01666666666667,28.2
MT,2012,64.225,28.8
MT,2013,64.14166666666667,27.9
MT,2014,63.791666666666664,28.7
MT,2015,63.80833333333334,30.6
MT,2016,63.65,31.0
MT,2017,63.35833333333333,32.3
MT,2018,63.34166666666667,31.7
NE,2010,71.48333333333333,28.6
NE,2011,71.75833333333334,27.6
NE,2012,71.925,28.1
NE,2013,71.60000000000001,28.8
NE,2014,70.75,29.1
NE,2015,70.13333333333333,30.2
NE,2016,69.91666666666667,31.4
NE,2017,69.40833333333333,31.7
NE,2018,69.75833333333334,32.4
NV,2010,65.71666666666667,22.5
NV,2011,65.02499999999999,22.1
NV,2012,64.51666666666667,22.8
NV,2013,63.775,22.9
NV,2014,63.15833333333333,23.4
NV,2015,62.71666666666667,23.6
NV,2016,62.225,23.5
NV,2017,62.583333333333336,24.9
NV,2018,63.4,24.9
NH,2010,69.90833333333333,32.5
NH,2011,69.41666666666667,32.9
NH,2012,69.28333333333333,33.9
NH,2013,69.08333333333333,34.2
NH,2014,68.61666666666666,34.2
NH,2015,68.47500000000001,35.7
NH,2016,68.575,36.6
NH,2017,68.19166666666666,36.9
NH,2018,68.55833333333332,36.8
NJ,2010,66.63333333333334,36.2
NJ,2011,66.14999999999999,36.5
NJ,2012,66.00833333333334,36.8
NJ,2013,65.01666666666667,37.2
NJ,2014,64.22500000000001,37.8
NJ,2015,64.13333333333334,37.6
NJ,2016,63.93333333333333,38.6
NJ,2017,63.449999999999996,39.7
NJ,2018,63.00833333333333,40.8
NM,2010,59.61666666666667,25.2
NM,2011,58.68333333333334,25.6
NM,2012,58.475,25.8
NM,2013,58.175000000000004,25.7
NM,2014,58.10833333333333,25.0
NM,2015,58.225,26.5
NM,2016,58.225,27.2
NM,2017,57.975,27.1
NM,2018,57.69166666666667,27.7
NY,2010,62.63333333333333,32.3
NY,2011,61.583333333333336,32.6
NY,2012,61.675000000000004,32.9
NY,2013,61.61666666666667,33.5
NY,2014,60.675000000000004,33.8
NY,2015,60.650000000000006,35.0
NY,2016,60.55833333333334,35.7
NY,2017,60.74166666666667,36.0
NY,2018,60.550000000000004,37.2
NC,2010,63.5,26.3
NC,2011,62.833333333333336,26.5
NC,2012,62.9,26.8
NC,2013,61.89166666666667,27.9
NC,2014,61.074999999999996,27.8
NC,2015,61.050000000000004,29.4
NC,2016,61.208333333333336,30.4
NC,2017,61.36666666666667,31.3
NC,2018,61.23333333333333,31.9
ND,2010,72.97500000000001,26.0
ND,2011,72.93333333333334,24.5
ND,2012,72.8,25.9
ND,2013,71.89166666666667,25.3
ND,2014,71.74166666666666,25.2
ND,2015,70.75,29.1
ND,2016,70.725,29.6
ND,2017,70.61666666666666,30.7
ND,2018,69.95833333333333,29.7
OH,2010,65.19166666666666,25.2
OH,2011,64.13333333333334,25.3
OH,2012,63.28333333333333,25.6
OH,2013,62.94166666666666,26.3
OH,2014,62.791666666666664,26.7
OH,2015,62.56666666666666,26.8
OH,2016,62.80833333333334,27.5
OH,2017,63.0,28.0
OH,2018,62.78333333333333,29.0
OK,2010,62.28333333333333,23.2
OK,2011,61.63333333333333,23.7
OK,2012,62.10833333333334,23.4
OK,2013,61.625,23.6
OK,2014,61.025,23.8
OK,2015,61.65833333333333,24.6
OK,2016,61.175000000000004,25.2
OK,2017,61.125,25.5
OK,2018,61.19166666666666,25.6
OR,2010,65.41666666666667,29.2
OR,2011,64.91666666666667,29.7
OR,2012,63.35,30.1
OR,2013,61.64166666666667,31.1
OR,2014,61.65833333333333,30.4
OR,2015,61.583333333333336,32.2
OR,2016,62.275,32.7
OR,2017,62.4,33.7
OR,2018,61.76666666666667,34.0
PA,2010,63.15,27.7
PA,2011,63.00833333333333,27.3
PA,2012,63.43333333333334,28.2
PA,2013,63.01666666666667,28.9
PA,2014,62.6,28.8
PA,2015,62.89166666666667,29.7
PA,2016,63.15,30.8
PA,2017,62.675000000000004,31.4
PA,2018,62.675000000000004,31.8
RI,2010,67.78333333333333,30.6
RI,2011,66.61666666666666,32.4
RI,2012,66.10000000000001,31.8
RI,2013,65.68333333333334,33.2
RI,2014,65.19166666666666,31.3
RI,2015,64.8,32.7
RI,2016,64.41666666666667,34.1
RI,2017,64.47500000000001,33.5
RI,2018,64.45,34.4
SC,2010,60.71666666666667,24.4
SC,2011,60.34166666666667,24.1
SC,2012,59.824999999999996,25.2
SC,2013,59.300000000000004,26.3
SC,2014,59.1,26.0
SC,2015,59.28333333333333,26.8
SC,2016,58.775,27.2
SC,2017,58.166666666666664,28.0
SC,2018,57.94166666666666,28.3
SD,2010,71.47500000000001,26.1
SD,2011,71.04166666666667,25.1
SD,2012,70.30833333333334,25.1
SD,2013,69.78333333333333,25.8
SD,2014,69.78333333333333,26.2
SD,2015,69.80833333333334,27.5
SD,2016,69.625,28.9
SD,2017,69.33333333333333,28.1
SD,2018,69.28333333333333,29.2
TN,2010,62.78333333333333,23.4
TN,2011,62.699999999999996,23.4
TN,2012,61.78333333333333,24.2
TN,2013,60.93333333333334,24.6
TN,2014,59.71666666666667,25.1
TN,2015,59.666666666666664,25.7
TN,2016,60.10833333333333,26.1
TN,2017,60.416666666666664,27.3
TN,2018,60.958333333333336,27.5
TX,2010,65.95833333333333,26.5
TX,2011,65.85833333333333,26.9
TX,2012,65.425,26.9
TX,2013,65.16666666666667,27.7
TX,2014,64.825,27.8
TX,2015,63.800000000000004,28.4
TX,2016,63.76666666666667,28.9
TX,2017,63.75833333333333,29.6
TX,2018,63.949999999999996,30.3
UT,2010,68.825,32.4
UT,2011,67.60000000000001,32.5
UT,2012,66.72500000000001,33.2
UT,2013,67.29166666666667,33.7
UT,2014,67.59166666666667,33.9
UT,2015,68.04166666666667,31.8
UT,2016,68.5,32.6
UT,2017,68.85000000000001,34.6
UT,2018,68.54166666666667,34.9
VT,2010,70.76666666666667,32.0
VT,2011,69.95,32.3
VT,2012,69.20833333333333,33.2
VT,2013,68.35000000000001,32.3
VT,2014,67.9,33.2
VT,2015,67.33333333333333,36.9
VT,2016,67.16666666666667,36.4
VT,2017,67.18333333333334,38.3
VT,2018,66.925,38.7
VA,2010,67.40833333333333,34.7
VA,2011,67.125,35.8
VA,2012,66.61666666666666,35.9
VA,2013,66.34166666666667,36.5
VA,2014,65.99166666666666,36.9
VA,2015,65.0,37.0
VA,2016,64.875,38.1
VA,2017,65.425,38.7
VA,2018,65.38333333333334,39.3
WA,2010,67.09166666666667,31.7
WA,2011,65.63333333333334,33.0
WA,2012,64.7,32.2
WA,2013,63.31666666666666,33.1
WA,2014,63.06666666666666,34.0
WA,2015,63.125,34.2
WA,2016,63.541666666666664,35.1
WA,2017,63.833333333333336,35.5
WA,2018,64.34166666666667,36.7
WV,2010,54.69166666666666,17.3
WV,2011,54.291666666666664,18.4
WV,2012,54.40833333333333,17.8
WV,2013,53.916666666666664,18.6
WV,2014,53.75833333333333,18.6
WV,2015,53.56666666666666,19.6
WV,2016,53.30833333333334,20.8
WV,2017,53.541666666666664,20.2
WV,2018,54.40833333333333,21.3
WI,2010,69.43333333333334,26.0
WI,2011,68.93333333333334,25.8
WI,2012,68.53333333333333,26.1
WI,2013,68.36666666666666,26.6
WI,2014,68.0,27.4
WI,2015,67.825,28.4
WI,2016,68.10833333333333,29.5
WI,2017,68.05833333333334,30.4
WI,2018,67.39166666666667,30.0
WY,2010,70.33333333333333,24.0
WY,2011,69.78333333333333,23.8
WY,2012,68.825,24.3
WY,2013,67.63333333333334,25.9
WY,2014,67.59166666666667,25.8
WY,2015,67.03333333333333,26.2
WY,2016,66.68333333333334,27.1
WY,2017,65.99166666666666,27.6
WY,2018,65.72500000000001,26.9
DC,2010,68.77499999999999,51.4
DC,2011,67.76666666666667,53.2
DC,2012,69.05833333333334,54.5
DC,2013,69.39999999999999,56.6
DC,2014,69.31666666666666,54.9
DC,2015,69.625,56.7
DC,2016,69.85833333333333,56.8
DC,2017,70.46666666666667,57.3
DC,2018,70.48333333333333,60.4
