state_abbr,year,bachelors_share
OH,2016,27.5
OK,2016,25.2
OR,2016,32.7
PA,2016,30.8
RI,2016,34.1
SC,2016,27.2
SD,2016,28.9
TN,2016,26.1
TX,2016,28.9
VT,2016,36.4
UT,2016,32.6
VA,2016,38.1
WA,2016,35.1
WV,2016,20.8
WI,2016,29.5
WY,2016,27.1
AL,2016,24.7
AK,2016,29.6
AZ,2016,28.9
AR,2016,22.4
CA,2016,32.9
CO,2016,39.9
DE,2016,31.0
DC,2016,56.8
CT,2016,38.6
FL,2016,28.6
GA,2016,30.5
ID,2016,27.6
HI,2016,31.9
IL,2016,34.0
IN,2016,25.6
IA,2016,28.4
KS,2016,32.8
KY,2016,23.4
LA,2016,23.4
ME,2016,30.1
MD,2016,39.3
MA,2016,42.7
MI,2016,28.3
MN,2016,34.8
MS,2017,21.9
MO,2017,29.1
MT,2017,32.3
NE,2017,31.7
NV,2017,24.9
NH,2017,36.9
NJ,2017,39.7
NM,2017,27.1
NY,2017,36.0
NC,2017,31.3
ND,2017,30.7
OH,2017,28.0
OK,2017,25.5
OR,2017,33.7
PA,2017,31.4
RI,2017,33.5
SC,2017,28.0
SD,2017,28.1
TN,2017,27.3
TX,2017,29.6
VT,2017,38.3
UT,2017,34.6
VA,2017,38.7
WA,2017,35.5
WV,2017,20.2
WI,2017,30.4
WY,2017,27.6
AL,2017,25.5
AK,2017,28.8
AZ,2017,29.4
AR,2017,23.4
CA,2017,33.6
CO,2017,41.2
DE,2017,31.5
DC,2017,57.3
CT,2017,38.7
FL,2017,29.7
GA,2017,30.9
ID,2017,26.8
HI,2017,32.9
IL,2017,34.4
IN,2017,26.8
IA,2017,28.9
KS,2017,33.7
KY,2017,24.0
LA,2017,23.8
ME,2017,32.1
MD,2017,39.7
MA,2017,43.4
MI,2017,29.1
MN,2017,36.1
WI,2018,30.0
WY,2018,26.9
MS,2018,23.2
MO,2018,29.5
MT,2018,31.7
NE,2018,32.4
NV,2018,24.9
NH,2018,36.8
NJ,2018,40.8
NM,2018,27.7
NY,2018,37.2
NC,2018,31.9
ND,2018,29.7
OH,2018,29.0
OK,2018,25.6
OR,2018,34.0
PA,2018,31.8
RI,2018,34.4
SC,2018,28.3
SD,2018,29.2
TN,2018,27.5
TX,2018,30.3
VT,2018,38.7
UT,2018,34.9
VA,2018,39.3
WA,2018,36.7
WV,2018,21.3
AL,2018,25.5
AK,2018,30.2
AZ,2018,29.7
AR,2018,23.3
CA,2018,34.2
CO,2018,41.7
DE,2018,31.3
DC,2018,60.4
CT,2018,39.6
FL,2018,30.4
GA,2018,31.9
ID,2018,27.7
HI,2018,33.5
IL,2018,35.1
IN,2018,27.1
IA,2018,29.0
KS,2018,33.8
KY,2018,24.8
LA,2018,24.3
ME,2018,31.5
MD,2018,40.8
MA,2018,44.5
MI,2018,29.6
MN,2018,36.7
